state,district,ac_number,ac_name,part_number,roll_type,record_type,file_url,format,scriptable,live_status,live_http_status,live_content_type,last_updated
Andaman and Nicobar Islands,,,,335,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/335.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (per roll series)
Andaman and Nicobar Islands,,,,336,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/336.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (per roll series)
Andaman and Nicobar Islands,,,,337,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/337.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (per roll series)
Andaman and Nicobar Islands,,,,45,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/45.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (per roll series)
Andaman and Nicobar Islands,,,,71,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/71.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (per roll series)
Andaman and Nicobar Islands,,,,73,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/73.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (per roll series)
Andaman and Nicobar Islands,,1,ANDAMAN AND NICOBAR ISLANDS,,Service Voter Draft Roll,service_elector_roll,https://www.ceoandaman.nic.in/election/AnnounceContent/DRAFT SERVICE VOTER-2025.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2025 (per filename)
Andaman and Nicobar Islands,,1,ANDAMAN AND NICOBAR ISLANDS,,Service Voter Final Roll,service_elector_roll,https://ceoandaman.nic.in/election/AnnounceContent/Final Service Voter- 2025.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2025 (per filename)
Andaman and Nicobar Islands,,1,ANDAMAN AND NICOBAR ISLANDS,,Service Voter Final Roll,service_elector_roll,https://ceoandaman.nic.in/election/AnnounceContent/SERVICE VOTER FINAL ROLL 21.02.2026.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2026-02-21 (per filename)
Andaman and Nicobar Islands,Andaman,,,11,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/11.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,132,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/132.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,134,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/134.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,14,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/14.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,16,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/16.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,161,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/161.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,163,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/163.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,185,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/185.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,197,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/197.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,21,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/21.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,212,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/212.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,22,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/22.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,239,Final Roll,main_roll,https://www.ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/239.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,41,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/41.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
Andaman and Nicobar Islands,Andaman,,,49,Final Roll,main_roll,https://ceoandaman.nic.in/election/E-ROLL-2002/AllPdf/49.pdf,PDF text-searchable,Y,not_reachable_from_sandbox,000,,2002-01-31 (final publication date per document)
